raw_daily_ghi_cv,interannual_annual_mean_ghi_cv,mean_month_conditioned_interannual_cv,max_month_conditioned_interannual_cv,mean_within_month_daily_cv,n_valid_ghi_days,n_years,location,country,latitude,longitude
0.22907672020312725,0.030616782948140388,0.05229613322770155,0.10193130153176473,0.10057390581826295,3652,10,Abu Dhabi,United Arab Emirates,24.4539,54.3773
0.27274335857631793,0.012115166125139127,0.03188155495598651,0.05121517226093612,0.10148663185264166,3652,10,NEOM Bay/Sharma,Saudi Arabia,28.112,35.194
0.24649852621183294,0.023688484597045464,0.05177174934204324,0.07848763698016888,0.1384708599317209,3652,10,Jodhpur,India,26.2389,73.0243
0.37968330983577353,0.0172959077727575,0.06082599150066614,0.08576191581722206,0.1765462841485821,3652,10,Las Vegas,United States,36.1699,-115.1398
0.34378213100607424,0.011761647228712264,0.045606026836844095,0.0667230634380839,0.1581703371933265,3652,10,Phoenix,United States,33.4484,-112.074
0.29870899218411434,0.011037711464812864,0.031430970148751666,0.05599802211953135,0.1131324642278655,3652,10,Antofagasta,Chile,-23.6509,-70.3975
0.2768272977085807,0.037299595756256985,0.0695778333154961,0.12241358196917916,0.17328116274600525,3652,10,Alice Springs,Australia,-23.698,133.8807
0.40404940917196863,0.013048790616690167,0.04465658446663614,0.0678449662543082,0.1879014421154838,3652,10,Dunhuang,China,40.1421,94.6618
0.21007358587920597,0.007445608061448225,0.024703516167801223,0.04158045004639661,0.06942410776656414,3652,10,Aswan,Egypt,24.0889,32.8998
0.2831979966863209,0.014851111530770145,0.04505877428479038,0.07545135512859398,0.13964266571906697,3652,10,Ouarzazate,Morocco,30.9335,-6.937
